avg,max,min,sum,currentDate,count
1.37445524639625,1.37445524639625,1.37445524639625,1.37445524639625,20191220021500,1
1.36005726556908,1.36005726556908,1.36005726556908,1.36005726556908,20191221023000,1
1.27253446447508,1.27253446447508,1.27253446447508,1.27253446447508,20191222023000,1
-8.770821684270992,-8.81612090680101,-10.1694915254237,-35.08328673708397,20191231083000,4
-7.71084337349398,-7.71084337349398,-7.71084337349398,-7.71084337349398,20200101023000,1
-7.2992700729927,-7.2992700729927,-7.2992700729927,-7.2992700729927,20200103204500,1
-6.14525139664805,-6.14525139664805,-6.14525139664805,-6.14525139664805,20200105024500,1
-7.62527233115468,-7.62527233115468,-7.62527233115468,-7.62527233115468,20200107024500,1
-5.111883985475975,0,-5.67375886524823,-25.559419927379878,20200109024500,5
-6.3424732229898,-8.21256038647343,-3.18725099601594,-25.3698928919592,20200109084500,4
-5.875868395121805,-8.84353741496599,-2.97619047619048,-35.25521037073083,20200109144500,6
-7.233713058320385,-8.88278388278388,-5.58464223385689,-14.46742611664077,20200109204500,2
-3.000348623696117,2.8328611898017,-2.17030896759608,-18.002091742176702,20200110024500,6
-3.961933578902902,-5.8287795992714,-0.442477876106195,-23.771601473417412,20200111024500,6
-7.236839313824066,-6.34920634920635,-12.2605363984674,-21.710517941472197,20200111084500,3
-5.190786872676701,-6.79611650485437,-3.48993288590604,-20.763147490706803,20200111150000,4
-6.884284409403394,-8.19672131147541,-5.57184750733138,-13.768568818806788,20200111210000,2
-2.12071778140294,-2.12071778140294,-2.12071778140294,-2.12071778140294,20200112150000,1
-4.136250459779873,-4.20168067226891,-4.04040404040404,-12.40875137933962,20200112210000,3
-4.83870967741935,-4.83870967741935,-4.83870967741935,-4.83870967741935,20200113090000,1
-4.5872876288774505,-8.38709677419355,-2.8,-36.698301031019604,20200113150000,8
-6.74603174603175,-6.74603174603175,-6.74603174603175,-6.74603174603175,20200113210000,1
-4.51505016722408,-4.51505016722408,-4.51505016722408,-4.51505016722408,20200114030000,1
-5.396897336246035,-6.5028901734104,-3.31858407079646,-21.58758934498414,20200114090000,4
-5.35341679707877,-6.48148148148148,-4.22535211267606,-10.70683359415754,20200114150000,2
-6.007445603056284,-9.30232558139535,-3.55731225296443,-30.037228015281418,20200114210000,5
-3.6808725252248076,-4.24076607387141,-2.95358649789029,-14.72349010089923,20200115030000,4
-5.550933876195932,-6.03674540682415,-1.0752688172043,-22.20373550478373,20200115090000,4
-4.37717864543858,-4.95626822157434,-3.86904761904762,-13.13153593631574,20200115150000,3
-4.348699347852623,-5.80645161290323,-3.31807780320366,-13.046098043557869,20200115210000,3
-3.7645142398562297,1.11111111111111,-3.27102803738318,-22.58708543913738,20200116030000,6
-9.192304117483026,-7.54716981132075,-10.8374384236453,-18.384608234966052,20200116090000,2
-3.1730174014719044,-5.37634408602151,-0.476190476190476,-12.692069605887617,20200116150000,4
-1.5337567631145599,-1.53846153846154,-1.52905198776758,-3.0675135262291198,20200116210000,2
-7.817001171512267,-8.25082508250825,-7.37704918032787,-23.4510035145368,20200117030000,3
-3.3282767948854963,3.04182509505703,-2.27272727272727,-26.62621435908397,20200117090000,8
-8.63636363636363,-8.63636363636363,-8.63636363636363,-8.63636363636363,20200117150000,1
